text,target
"ఆ సమయంలో కృనాల్‌ పాండ్య బౌలింగ్‌ భారీ షాట్‌కు ప్రయత్నించి రహానే(37 పరుగులు, 21 బంతులు 6 ఫోర్లు, 1సిక్సర్‌) క్యాచ్‌ ఔట్‌గా వెనుతిరిగాడు.",0
ఇంటి మేడపైన ఒంటరిగా నిద్రిస్తున్న సమయంలో గుర్తు తెలియని వ్యక్తులు ఆమె మెడ చుట్టూ తువ్వాలును బిగించి హతమార్చారు,0
"వాటి వల్ల చాలా మంది అనేక రకాలుగా ఇబ్బంది పడ్డారు.
",0
అదే జిల్లా నుంచి బలమైన రెడ్డి నేత పెద్దిరెడ్డి రామచంద్రా రెడ్డికి మంత్రి వర్గంలో స్థానం దక్కడంతో రోజాకు మంత్రివర్గంలో చోటు దక్కలేదు,0
"దీంతో మరోసారి రొటీన్‌ కామెడీ సినిమా చూస్తున్న ఫీలింగ్ కలుగుతుంది.
",0
"ఈ ఏడాది మొదటి ఆరు నెలల్లోనే చంద్రయాన్ -2 ప్రయోగించాలని అనుకున్నా, మాడ్యూల్స్ సిద్ధం కాలేదు.
",0
తర్వాత ద్విచక్ర వాహనంపై వేచి ఉన్న మరో వ్యక్తితో కలిసి పరారయ్యాడు,0
"అయితే 14:4 ఓవర్‌లో 95 స్కోరు వద్ద బెయిర్‌ స్టో(45, 46 బంతుల్లో 7ఫోర్లు) వెనుతిరిగాడు.
",0
"ఇంగ్లండ్‌తో టెస్టు సిరీస్‌లో విఫలమైన ఓపెనర్‌ శిఖర్‌ ధావన్‌ (127, 120 బంతుల్లో 15×4, 2×6) శతకం బాదేశాడు.
",1
"సామాన్య కుటుంబంలో జన్మించి, అగ్ర స్థానానికి ఎదిగిన ఆయన జీవితం అందరికీ తెలియాలనే ఈ చిత్రాన్ని తీస్తున్నాం.",1
ఆసాంతం ఎంటర్‌టైన్ చేసే సినిమాను విజయవంతం చేయాలని కోరారు,1
"బాధ్యతలు స్వీకరించిన తమ్మినేని సీతారాంను సీఎం జగన్‌తో పాటు మంత్రులు, సభ్యులు అభినందనలు తెలిపారు.
",1
"వీరు రాష్ట్రంలో 42వేల మంది ఉన్నారు.
",1
"అంతేకాదు సినిమా ప్ర‌మోష‌న్ల‌కు రాన‌ని, ఈ సినిమా గురించి ఎక్క‌డా మాట్లాడన‌ని తెగేసి చెబుతున్నాడ‌ని తెలుస్తోంది",0
"అజహర్‌ అలీ ఆఖరి వికెట్‌గా వెనుదిరగడంతో పాకిస్థాన్‌ ఓటమి పాలైంది.
",0
"కష్టసమయంలో వీరిద్దరూ ఐదో వికెట్‌కు అభేద్యమైన 141 పరుగుల కీలక భాగస్వామ్యం నెలకొల్పడంపై కోహ్లి సంతోషం వ్యక్తం చేశాడు.
",1
"మొదటి వికెట్‌గా సంజూ శామ్సన్‌ (0) రనౌట్‌ అయ్యాడు.
",0
"ఇలాంటివి చూసి నా గుండె పగిలిపోయింది.
",0
"అనంతరం ఆలయ అధికారులు శక్తికాంతదాస్‌కు స్వామి వారి తీర్థప్రసాదాలు అందజేసి సత్కరించారు.
",1
"ఆమె గ్లామర్‌ షోతో పాటు నటిగానూ ఆకట్టుకునే ప్రయత్నం చేశారు.
",1
గత ఏడాది వరుణ్‌ తేజ్‌ దెయ్యం గెటప్‌లోకి మారి సందడి చేశాడు.,1
"పెర్త్‌: భారత్‌, ఆస్ట్రేలియా రెండో టెస్టు ఫలితం దిశగా సాగుతున్నట్టే కనిపిస్తోంది.
",1
"ఇదంతా ఒక ఎత్తు అయితే నరసింహన్ మరో రికార్డునుసొంతం చేసుకున్నారు.
",1
విశ్వనటుడు కమల్‌ హాసన్‌ వారసురాలిగా సినీ రంగ ప్రవేశం చేసిన శృతీహాసన్‌ ఆ తర్వాత సొంత గుర్తింపు సంపాదించుకుంది.,1
"ఇక, గతంలో కోన రఘుపతి తండ్రి కోన ప్రభాకరరావు స్పీకర్‌గా పనిచేశారు.
",1
"అంగన్‌వాడీలు, ఆయాలు, హోంగార్డులు, ఆశా కార్యకర్తలు, పారిశుద్ధ్య కార్మికులకు వేతనాలు పెంచేశారు",1
తొలి చిత్రంతోనే బ్లాక్‌బస్టర్‌ విజయాన్ని అందుకున్నారు.,1
డైరక్టర్ తేజ గత పదేళ్ల పరాజయాల జాబితాలో మరో సినిమా పెరిగింది,0
ఈ ప్రపోజల్‌ కు స్వీటీ వెంటనే గ్రీన్‌ సిగల్‌ కూడా ఇచ్చిందట.,1
"ఇప్పుడిచ్చిన షాక్ ట్రీట్ మెంట్ చాలకపోతే మరో షాక్ ట్రీట్ మెంట్ ఇస్తారు' అని రేవంత్ లేఖలో పేర్కొన్నారు.
",0
తాజా కేసులోనూ తాను ఒంటరివాడిని కావడంతో వృద్ధాప్యంలో ఆసరాగా ఉంటాడని బాలుడిని అపహరించినట్లు విశ్వంభర్‌ చెప్పాడని ఎస్పీ వెల్లడించారు,0
అయితే అనాథ ఆశ్రమానికి వెళ్లేందుకు బాలుడు అంగీకరించలేదు,0
"కానీ ఆటలో అతడి దూకుడు, ఆటతీరు, క్రికెట్‌ నైపుణ్యాలను మెచ్చుకోకుండా ఉండలేను.",1
అప్పటికే వారిద్దరూ మృతి చెందారని వైద్యులు నిర్ధరించారు,0
"పాక్‌ సిరీస్‌లో విలియమ్సన్‌ భారీ స్కోర్లు చేశాడు.
",1
"టీమిండియాజట్టు పాకిస్తాన్‌, ఆస్ట్రేలియా, దక్షిణాఫ్రికాలపై ఘన విజయాలను నమోదు చేసుకోగా న్యూజిలాండ్‌తో మ్యాచ్‌ వర్షం కారణంగా టాస్‌ వేయకుండానే తుడిచిపెట్టుకుపోయింది",0
"రెండుసార్లు ఫైనల్‌లో అడుగుపెట్టిన ఆ జట్టు 2016తో విజేతగా నిలిచి 2018ల్లో రన్నరప్‌గా ఉంది.
",1
"బిజినెస్‌ కూడా అదే స్థాయిలో జరిగిందన్న ప్రచారం‍ జరుగుతుండటంతో ఐటీ అధికారులు దిల్ రాజు ఆఫీసులో సోదాలు చేశారు.
",0
"కాస్త గ్యాప్‌ తీసుకొని మరో ఇంట్రస్టింగ్ సినిమాతో ప్రేక్షకుల ముందుకు వచ్చాడు.
",1
అప్పటినుండి శ్రీ మారుతి సేవేంద్ర సరస్వతి పేరుతో వ్యవహారంలో ఉన్నారు.,1
"ప్రముఖ కమెడియన్‌, హీరో సునీల్‌ ఇందులో కీలక పాత్ర పోషించారు.",1
తెలంగాణలో భారతీయ జనతా పార్టీ మరింత బలోపేతం అయ్యే దిశగా ముందుకెళ్తోందని ఆ పార్టీకి చెందిన నిజామాబాద్ పార్లమెంటు సభ్యుడు ధర్మపురి అర్వింద్ అన్నారు,1
"అందరికి థాంక్స్‌.
",1
ఈ పరిస్థితే నితిన్‌ను ఇప్పుడు నిరాశపరుస్తోంది.,0
"ఆమె ఈ రేంజ్‌ లో ఉందంటే ఆమె వర్క్‌ కారణం.
",1
"టెంపర్ సినిమా టైమ్ లో హీరో ఎన్టీఆర్ తో, కథకుడు వంశీతో, ఫైనాన్షియర్ సచిన్ జోషి తో వివాదాలు రావడంతో భారీ చిత్రాల నిర్మాత బండ్ల గణేష్ కొన్నాళ్ల పాటు సినిమా నిర్మాణానికి దూరం అయ్యారు",0
మెజార్టీ ఎంపీటీసీలను గెలుచుకున్న కాంగ్రెస్ పార్టీ తన సభ్యులను కాపాడుకోలేక చేజేతులారా టీఆర్‌ఎస్‌కు అప్పగించింది,0
"మెగా టోర్నీలో దాయాది దేశపు జట్టుతో మ్యాచ్‌ వద్దని సీసీఐతో సహా కొందరు మాజీలు డిమాండ్‌ చేస్తుండగా దీనిపై మాత్రం బీసీసీఐ ఎలాంటి చర్యలు తీసుకోలేదు.
",0
దీనికి యూట్యూబ్‌లో విశేషమైన స్పందన లభించింది.,1
ఆయనతో పనిచేయడం హ్యాపీ.,1
"వాటన్నింటినీ పటాపంచలు చేస్తూ మాధవి ఎంపీగా విజయం సాధించారు.
",1
"అంతేకాదు ఉభయగోదావరి జిల్లాలకు ఇంచార్జ్ గా వ్యవహరిస్తున్నారు.
",1
ముప్పై ఏళ్ల వయస్సులో కూడా కాలేజీ అమ్మాయిలా కనిపించినపుడు ఏమీ అనని వారు ఇప్పుడెందుకు ట్రోల్‌ చేస్తున్నారని ప్రశ్నించారు.,0
"ఇందులో ఇండియా-ఎ జట్టుకు ప్రాతినిధ్యం వహించిన అతను మోచేయి గాయం కారణంగా టోర్నీ నుంచి వైదొలిగాడు.
",0
"ఈ క్లబ్‌ ఉన్న ప్రాంతంలో ముందు రోజు భారీ వర్షం కురవడంతో ప్రమాధం జరిగిన సమయంలో అక్కడ విద్యుత్‌, నీటి సదుపాయం గానీ లేని కారణంగా ఇంత భారీ నష్టం జరిగి ఉంటుందని అధికారులు తెలిపారు.
",0
"టీడీపీ ప్రభుత్వం చేసిన పనుల వల్లే ఇప్పుడు ఆంధ్రప్రదేశ్ అంధకారంలో చిక్కుకుందని ఆయన ఆరోపించారు.
",0
విజ్ఞాన యాత్ర విషాదయాత్రగా మారింది,0
"రేణిగుంట విమానాశ్రయంలో గవర్నర్‌ నరసింహన్‌, ఏపీ సీఎం జగన్‌ ప్రధానికి ఘనస్వాగతం పలికారు.
",1
"సోమవారం నాల్గోరోజు ఆటలో భాగంగా పాకిస్థాన్‌ తన రెండో ఇన్నింగ్స్‌లో 171 పరుగులకు ఆలౌటైంది.
",0
"జగన్ ను శాసనసభాపక్ష నేతగా మాజీమంత్రి వైసీపీ ఎమ్మెల్యే బొత్స సత్యనారాయణ ప్రకటించిన తర్వాత ఆయన ప్రతిపాదనను రాజారెడ్డి బలపరిచారు.
",1
దినేశ్‌ కార్తీక్‌ను పరీక్షించినా అంతగా ఆకట్టుకోలేదు.,0
ఎనర్జీ ఇండెక్స్‌ కూడా 2శాతంపైగా దిగజారింది,0
"సౌరబ్‌కు ఇది మూడో జాతీయ చాంపియన్‌షిప్‌.
",1
"ఈ మ్యాచ్‌లో టాస్‌ గెలిచిన ఇంగ్లండ్‌ ముందుగా బ్యాటింగ్‌కు దిగింది.
",1
"రొటీన్‌ పెళ్లి చూపులు లా కాకుండా కాస్త డిఫరెంట్ గా ప్లాన్ చేసిన పేరెంట్స్‌.
",1
ఈ తరువాత శ్రీలంకతో మ్యాచ్‌ వర్షార్పణం అయింది,0
"ఎస్ఆర్‌బీసీ కాలనీలో చిరుతపులి సంచరిస్తున్నట్లు స్థానికులు గుర్తించారు.
",0
వాలెంటైన్స్‌ డే స్పెషల్‌గా వచ్చిన ఈ వీడియో కుర్రకారు మతులు పోగొట్టింది.,1
"బుధ‌వారం ఆయ‌న అమ‌రావ‌తిలో మీడియాతో మాట్లాడుతూ:40 శాతం అరియర్స్ ఇవ్వడంలో యాజమాన్యం విఫలమ‌య్యాయ‌య‌ని.
",0
"బిచ్చగాడు సినిమాతో తెలుగు ప్రేక్షకులకు పరిచయం అయిన సాట్నా టిటస్‌కు ఈ సినిమాలో కూడా నటనకు ఆస్కారమున్న పాత్రే దక్కింది.
",1
"కెప్టెన్‌గా 200వ వన్డేకి బాధ్యతలు స్వీకరించడం విధి” అని అన్నాడు.
",1
"అయన టాప్‌ హీరో అవుతారని ఆశిస్తున్నాను.
",1
"ఈ నేపథ్యంలో సీఎం చంద్రబాబు త‌న ట్విట్ట‌ర్ ద్వారా విద్యార్థుల తల్లిదండ్రులకు పలు సూచనలు చేశారు.
",1
"సోమ‌వారం  ఆత్మకూరు పట్టణంలో ని వైద్యులంతా బృందంగా  జిల్లా వైద్యశాలకు చేరుకుని   పశ్చిమబెంగాల్ రాష్ట్ర వైద్యులకు సంఘీభావం ప్ర‌క‌టిస్తు, హాస్పటల్ ఎదుట నినాదాలు చేస్తూ నిరసన తెలిపారు.
",0
"కావాలని కామెడీ సీన్స్‌ను ఇరికించకుండా లీడ్‌ క్యారెక్టర్స్‌తోనే మంచి కామెడీ పండించాడు.
",1
విక్రమ్‌ కథానాయకుడిగా హరి దర్శకత్వంలో తెరకెక్కుతున్న తమిళ చిత్రం ‘సామి స్క్వేర్‌’.,1
"ఒక దశలో 99-4 స్థితిలో ఉన్న భారత జట్టును ధోనీ, కేదర్‌ జాదవ్‌ మంచి బ్యాటింగ్‌తో ఆదుకొని జట్టుని గెలిపించారు.
",1
విలన్‌గా హన్సిక !.,0
"మొత్తంగా న్యూజిలాండ్‌ 37:1 ఓవర్లలో నాలుగు వికెట్లు కోల్పోయి లక్ష్యాన్ని ఛేదించింది.
",1
"ఈ సందర్భంగా ఆయన ఆరోగ్యశాఖ పనితీరు పట్ల అసంతృప్తి వ్యక్తం చేశారు.
",0
"ఆస్ట్రేలియాలోని గోల్డ్‌ కోస్ట్‌ వేదికగా 2018లో జరిగిన కామన్వెల్త్‌ గేమ్స్‌లో 53కేజీల విభాగంలో సంజితా చాను స్వర్ణ పతకం సాధించింది.
",1
"వివిధ కేసుల్లో స్వాధీనం చేసుకున్న వాహనాలు, ఫోన్లు, ఇతర వస్తువులను పోలీసులు స్టేషన్ లోని స్టోర్ రూంలో పెట్టిన విష‌యాన్ని అడ‌పా ద‌డ‌పా స్టేష‌న్‌కివిచార‌ణ‌ల‌కు వ‌చ్చే దొంగ‌లు గుర్తించి, మే 18 అర్ధరాత్రి  జాగ్ర‌త్త‌గా పోలీస్ స్టేషన్‌లోకి చొరబడి,   90 బ్యాటరీలు, రెండు గ్యాస్‌ సిలిండర్లు, ఫోన్లు, సీసీటీవీ కెమెరాలు, కార్లలోని విడి భాగాలను ప‌ట్టుకెళ్లి పోయారు.
",0
"ముంబై : టీమిండియా యువ ఆల్‌రౌండర్‌ హార్దిక్‌ పాండ్యపై వెటరన్‌ ఆఫ్‌ స్పిన్నర్‌ హర్భజన్‌ సింగ్‌ ప్రశంసల వర్షం కురిపించాడు.
",1
"ఆయన స్థానంలో సీనియర్ ఐఏఎస్ అధికారి కావేటి విజయానంద్‌ ఏపీ ఎన్నికల ప్రధాన అధికారిగా నియమితులయ్యారు.
",1
పాజిటివ్‌ కంటే నెగెటివ్‌ ఎక్కువ.,0
ఒక వేళ ఆ వార్తలే నిజమైతే చాలా సంతోషిస్తాను.,1
"సింధు నాగ్‌పూర్‌కు చెందిన మాల్వికా బన్సోడ్‌పై 21-11, 21-13 తేడాతో విజయం సాధించి క్వార్టర్స్‌ చేరింది.
",1
"అంతర్జాతీయ వాణిజ్య యుద్ధం మరింత ముదరడం, పశ్చిమాసియాలో అకస్మాత్తుగా రేగిన ఉద్రిక్తతల కారణంగా ముడి చమురు ధరలు భగ్గుమనడంతో మన మార్కెట్‌ భారీగా నష్టపోయిందని జియోజిత్‌ ఫైనాన్షియల్‌ సర్వీసెస్‌ విశ్లేషకుడు వినోద్‌ నాయర్‌ వ్యాఖ్యానించారు",0
వరల్డ్‌కప్‌ల్లో పాకిస్తాన్‌పై అత్యధిక ఓపెనింగ్‌ పరుగుల భాగస్వామ్యాన్ని భారత్‌ సాధించింది,1
"గప్టిల్‌ గాయంతో జట్టుకు దూరమైనా మన్రో అతడి స్థానాన్ని భర్తీ చేయగలడు.
",1
1) సినిమా స్క్రిప్ట్‌: గడిచిన రెండున్నర సంవత్సరాలుగా సాయిధరమ్‌ తేజ్‌ ఎంచుకున్న కథలన్నీ ఫ్లాప్‌ అయ్యాయి.,0
"ధోనీ, జాదవ్‌ మంచి భాగస్వామ్యం చేసి జట్టుని గెలిపించాలి.
",1
"ఇక మహిళల సింగిల్స్‌లో జపాన్‌ క్రీడాకారిణి అయా ఒహోరీపై 22-20, 21-12 తేడాతో గెలిపొందింది.
",1
"రష్యాకు చెందిన కరెన్‌ ఖచనోవ్‌ రెండు ర్యాంకులు మెరుగుపడి 9వ స్థానం సాధించాడు.
",1
"ఇవన్నీ శుభ పరిణామమే.
",1
"మంత్రి ఉమా స్వయంగా పలుగు, పార చేతపట్టి వ్యర్థాలను తీశారు.
",1
"తల్లి, తండ్రి నిరంతర స్ఫూర్తిదాతలన్నారు.
",1
"ఈ చిత్ర నటీనటులు, సాంకేతిక నిపుణులు అద్భుతమైన పనితీరు కనబర్చారు.",1
"వివేకా హత్య కేసులో నిందితులైన ఎర్రగంగిరెడ్డి, కృష్ణారెడ్డి, ప్రకాశ్‌ల రిమాండ్‌‌ను ఈ నెల 17 వరకు పులివెందుల కోర్టు పొడిగించింది.
",0
ఇది ప్రతీకార చర్య అనే భావన తెదేపా నేతల్లో ఉంది,0
ఆ సిరీస్‌లో స్పిన్నర్‌ చాహల్‌ అద్భుత ప్రదర్శన చేశాడు,1
"భలేభలే మగాడివోరు, మహానుభావుడు, బాబు బంగారం లాంటి సినిమాలతో ఫ్యామిలీ ఆడియన్స్‌నీ రీచ్‌ అచ్యాడు.",1
"తాత్కాలిక రామమందిరంపై ఉగ్రవాదులు దాడికి యత్నించారు.
",0
"ఉగ్రవాదులు, భద్రతా బలగాల మధ్య ఎదురుకాల్పులు కొనసాగుతున్నాయి.
",0
"వైసిపి ఎన్డీయే లో చేరుతుందన్న వార్తల్లో నిజం ఏమాత్రం లేదని స్ప‌ష్టం చేసారు బిజెపి రాష్ట్ర అధ్యక్షుడు కన్నా లక్ష్మీ నారాయణ ఆదివారం త‌న నివాసంలో జ‌రిగిన ప్రెస్ మీట్ లో ఆయ‌న మీడియాలో మాట్లాడుతూ ప్ర‌స్తుతం రాష్ట్రంలో విప‌క్ష‌మే లేద‌ని,  ఆంధ్రప్రదేశ్ లో మేం ప్రజల పక్షాన ఉంటాం, మేం వైకాపాకు మిత్ర‌ప‌క్షం కాదు అని తేల్చి చెప్పారు.
",1
"ఏపీలో గత ఐదేళ్లు టీడీపీ పాలన దుర్మార్గంగా సాగిందని శ్రీకాంత్ రెడ్డి దుయ్యబట్టారు.
",0
"వ్యక్తిగత అంశాలపై మేమెప్పుడూ ఈసిని విమర్శించలేదని, ఎన్నికల ప్రక్రియ నిష్పక్షపాతంగా నిర్వహించాలని, వ్యవస్థ గౌరవాన్ని కాపాడాలనేదే మా కాంక్ష‌.
",1
"అతడి తర్వాత వచ్చిన ఆర్చర్‌ 24 నాటౌట్‌; 11 బంతుల్లో 1×4, 2×6 చెలరేగిపోయాడు",1
అయితే ఈ కానుక మరొకరికి రాకూడదని అనుకుంటున్నాను.,0
"గిరిరాజ్‌ సింగ్‌ చేసిన వ్యాఖ్యలను ఇ సి ఖండించింది.
",0
"ఇప్పటికే ప్రపంచకప్‌లో భారత్‌-పాక్‌ మ్యాచ్‌ను రద్దు చేసేందుకు సన్నాహాలు చేస్తోంది.
",0
"ఆన్ లైన్ ద్వారా అందిన దరఖాస్తులను సైతం పరిగణలోకి తీసుకోవాలని సూచించారు.
",1
"ఇక పశ్చిమ బెంగాల్ లో మా ఓటును మేం వేసుకునే పరిస్థితులుంటే మా బలం గణనీయంగా పెరుగుతుందని వెల్లడించారు ఏచూరి.
",1
బ్యాటింగ్‌లో పూర్తిగా వైఫల్యం చెందడం వారి ఆత్మవిశ్వాసాన్ని దెబ్బ తీసింది.,0
"ప్రమాదంలో 13 ఇళ్లు పూర్తిగా దగ్దమయ్యాయి.
",0
సమాజానికి మంచి మెసేజ్‌ ఇచ్చే సినిమాగా రూపొందించాము.,1
"శేఖర్ రెడ్డి కుటుంబానికి ప్రగాఢ సానుభూతిని తెలియజేశారు.
",1
ఘటనకు ముందురోజునే పాకిస్థాన్‌లోని ఉగ్రవాద స్థావరంపై భారత వాయుసేన దాడి చేసింది,0
ఇటు హీరో బాలక _x005F_x007f_ష్ణ గానీ.యూనిట్‌ సభ్యులు గానీ పెదవి విప్పడం లేదు.,0
"నేను ప్రొడక్షన్‌లోకి వస్తున్నా అనగానే నాకు సపోర్ట్‌ చేసిన నా ఫామిలీకి ధన్యవాదాలు.
",1
"శేషవస్త్రం, అమ్మవారి తీర్థప్రసాదాలు అందజేశారు.
",1
"కోమటి చెరువుని మరింత పర్యాటక క్షేత్రంగా తీర్చిదిద్దే విదంగా, సిద్దిపేట ప్రజలకు ఆహ్లాదాన్ని అందించేలా లక్నవరం తరహాలో వేలాడే వంతెనను నిర్మిస్తున్నామన్నారు",1
"ఈ విజయంతో టీమిండియా కెప్టెన్‌ విరాట్‌ కోహ్లి ఖాతాలోకి మరో రికార్డు వచ్చి చేరింది.
",1
"జట్టుస్కోర్‌ 133 పరుగులలోపే సర్కార్‌, తమీమ్‌ ఇక్బాల్‌, ముస్తఫిజుర్‌ వికెట్లను కోల్పోయి కష్టాల్లో పడింది",0
"ఈ క్రమంలోనే డుప్లెసిస్‌ (26 పరుగులు, 13 బంతులు, 3×4, 1×6) కృనాల్‌ పాండ్య బౌలింగ్‌లో కీపర్‌ డీకాక్‌కు క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.",0
వార్నర్‌ తిరిగి రావడం సన్‌ రైజర్స్‌కు మరింత బలం చేకూరుస్తోంది.,1
"రెండో ఇన్నింగ్స్‌లో ఆతిథ్యజట్టుకు శుభారంభం దక్కింది.
",1
ఫిదా సినిమాతో సాయి పల్లవిని తెలుగు ప్రేక్షకులకు పరిచయం చేయటమే కాక వరుణ్‌ తేజ్‌ కెరీర్‌లో పెద్ద హిట్‌ ఇచ్చాడు శేఖర్‌.,1
"స్వామివారిని దర్శించుకునేందుకు భక్తులు కంపార్ట్‌మెంట్లలో వేచి ఉన్నారు.
",0
వాణిజ్య యుద్ధ భయాలు,0
"నమ్మండి,నమ్మకపోండి,కానీ, ఇది నిజమే! బెంగళూరు మహానగరంలో ఓ మామూలు ఆటోవాలా కోట్లకు పడగలెత్తాడన్న సమాచారాన్ని మొదట ఆదాయపుపన్ను శాఖ అధికారులు నమ్మకపోయినా,తనిఖీలు చేశాక ముక్కున వేలేసుకోక తప్పింది కాదు",0
"తిరుమల శ్రీవారి ఆలయంలో మూడు రోజుల పాటు జరిగిన జ్యేష్ఠాభిషేకం ఆదివారం ఘనంగా ముగిసింది.
",1
"వరంగల్ అర్బన్ జిల్లా ఎస్సీ జనరల్ స్ధానం నుండి చైర్మన్‌గా డాక్టర్ మారపల్లి సుధీర్‌కుమార్, వైస్ చైర్మన్‌గా గజ్జేల్లీ శ్రీరాములు ఎన్నికైయ్యారు",1
"ఇతర పాత్రల్లో రాహుల్‌ రామకృష్ణ, నాగబాబు, గిరిబాబు, అన్నపూర్ణ తమ పరిధి మేరకు ఆకట్టుకున్నారు.
",1
"‘ఇండియన్‌ క్రికెట్‌కు ధోనీ ఎన్నో సేవలందించాడు.
",1
"కాగా ప్రస్తుతం వడగాలులు వీస్తున్నాయి.
",0
ఇక ఆకాంక్ష గురించి ప్రస్తావిస్తూ ”మొన్న ట్వీట్‌ కూడా చేశాను.,1
"క్రీజులో పాండ్య, పొలార్డ్‌ వంటి పవర్‌ హిట్టర్లు ఉన్నప్పుడు స్పిన్నర్లకు బౌలింగ్‌ ఎలా ఇస్తారని ప్రశ్నిస్తున్నారు.",0
ఇందులో నా పాత్ర కాస్త నెగెటివ్ టచ్‌తో ఉంటుంది,0
ఒకవైపు గ్లామర్‌ రోల్స్‌లో నటిస్తూనే.మరోవైపు పెర్‌ఫార్మెన్స్‌ ఓరియెంటెడ్‌ క్యారెక్టర్స్‌ లోనూ మెప్పిస్తున్నారు ఈ టాలెంటెడ్‌ బ్యూటీస్‌.,1
"నీటి బొట్టు లేకుండా, చిన్న మొక్క లేకుండానే నీరు-చెట్టు పథకం కింద టీడీపీ నేతలు రూ:18,000 కోట్లు దోచేశారని ఏపీ జలవనరుల మంత్రి అనిల్ కుమార్ యాదవ్ ఆరోపించారు.
",0
"ప్రభుత్వం సేవలు అందించింది అంటే దానికో ప్రత్యేక బ్రాండ్ పడాలని, రైతులకు ప్రభుత్వ సేవలపై విశ్వసనీయత పెంచాలన్నారు.
",1
అందరికీ స్వీట్‌ సర్‌ప్రైజ్‌ రమ్యకృష్ణ.,1
"మీరనుకుంటే సమర్థవంతమైన పాలన అందించినట్టు కాదని, ఆ మాటను ప్రజలు అనుకోవాలని చురకలు అంటించారు.
",0
"ఉత్కంఠభరితంగా జరిగిన మంగళగిరి నియోజకవర్గ ఎన్నికల్లో లోకేష్‌పై వైసీపీ అభ్యర్థి ఆళ్ల రామకృష్ణారెడ్డి 5372 ఓట్ల మెజార్టీతో విజయం సాధించారు.
",1
అతడే ఈ సిరీస్‌లో 278 పరుగులు చేశాడు మరి.,1
టాస్‌ ఓడి బ్యాటింగ్‌కు దిగిన ఆ జట్టు ఏ దశలోనూ భారీ స్కోరు చేసేలా కనిపించలేదు,0
ఈ బ్యానర్‌ని నిలబెట్టే సినిమా అవుతుంది.,1
అందుకే వచ్చే సంక్రాంతి రేసులో  దర్భార్ను తెచ్చేందుకు రంగం సిద్ధం చేసుకుంటున్నాడు,1
"లైయన్‌ అద్భుతంగా బౌలింగ్‌ చేశాడు.
",1
"ఈ నేపథ్యంలో ఆమెను బుధవారం బీజేపీ ఎమ్మెల్యే రాజా సింగ్‌ సత్కరించారు.
",1
"విజయవాడలో ఆయన మీడియాతో మాట్లాడుతూ… 50 శాతం ఓట్లతో విజయం ఆషామాషిగా వచ్చింది కాదన్నారు.
",1
"తనదైన రోజున శనివారం వైస్‌కెప్టెన్‌ రోహిత్‌ శర్మ బౌలర్లకు చుక్కలు చూపించగా, తరువాత వచ్చిన కెప్టెన్‌ విరాట్‌ కోహ్లి 44 పరుగులు చేసి కీలకమైన భాగస్వామ్యాన్ని నెలకొల్పాడు.",1
"దిగ్గజ ఆటగాడు కుంబ్లేను కూడా విలన్‌లా చిత్రీకరించే ప్రయత్నం జరిగింది.
",0
ఈ సందర్భంగా సంగక్కర మాట్లాడుతూ:‘విరాట్‌ గురించి ఎంత చెప్పినా తక్కువే.,1
"139 పరుగుల స్వల్ప లక్ష్యాన్ని ఛేదించేందుకు రంగంలో దిగిన రైజర్స్‌ ఎదురుదాడి ప్రారంభించారు.
",1
"వన్డేలో అత్య ధిక వ్యక్తిగత పరుగులు: వన్డే చరిత్రలో అత్యధిక వ్యక్తిగత పరుగులు చేసిన ఏకైక బ్యాట్స్‌మన్‌ రోహిత్‌ శర్మ.
",1
మహబూబ్‌నగర్: ఉమ్మడి పాలమూరు జిల్లాలో ఐదు జడ్పీపీఠాలపై గులాబీ జెండా ఎగురవేశారు,1
"? తల్లిదండ్రులు చనిపోయిన తరువాత అమర్‌, ఐశ్వర్యల జీవితం ఎలాంటి మలుపులు తిరిగింది.
",0
అపస్మారకస్థితిలోకి వెళ్లిన రోజాని చూసి భయంతో సురేశ్‌ పరారయ్యాడు,0
"తొలి రోజు ఆటలో ఆధిపత్యం సాధించిన ఆతిథ్య జట్టు, అదే జోరును రెండో రోజు కొనసాగించలేకపోయింది.
",0
"అంతేకాదు,యామిని ఓ కాల్ సెంటర్ నిర్వహించిందని, మాజీ మంత్రి లోకేష్ ఆ కాల్ సెంటర్ కి ఫేవర్ చేశాడని, ఆ వ్యవహారాలు బయటికి వస్తే,ఇద్దరి పరువు గంగాలో కలుస్తుందని అంటున్నారు",0
"తెలుగు వారి నాడి పట్టడం దాదాపు కష్టమే అన్మమాట.
",0
చివర్లో హసన్‌ మెరుపులు మెరిపించాడు,1
త‌న‌పై బరువైన బాధ్యతలు అప్పగించిన ముఖ్యమంత్రి వైఎస్‌ జగన్‌మోహన్‌ రెడ్డి పెట్టిన నమ్మకాన్ని వమ్ము చేయ్యకుండా జలవనరుల శాఖకు వన్నె తెస్తానని రాష్ట్ర జలవనరుల శాఖ మంత్రి అనిల్‌కుమార్‌ చెప్పారు,1
"జిల్లాలోని పెద్దపంజాని, సోమల, చౌడేపల్లి, నిమ్మనపల్లి, మదనపల్లి మండలాలలో ఈదురుగాలులతో కూడిన వర్షంతో పాటు పిడుగులు పడే అవకాశం ఉందని ఆర్టీజీఎస్ హెచ్చరికలు జారీచేసింది.
",0
